Alkon hinnasto 13.11.2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huom.! Hinnastojärjestyskoodilla saat tuoteryhmät takaisin hinnaston järjestykseen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Numero;Nimi;Valmistaja;Pullokoko;Hinta;Litrahinta;Uutuus;Hinnastojärjestyskoodi;Tyyppi;Alatyyppi;Erityisryhmä;Oluttyyppi;Valmistusmaa;Alue;Vuosikerta;Etikettimerkintöjä;Huomautus;Rypäleet;Luonnehdinta;Pakkaustyyppi;Suljentatyyppi;Alkoholi-%;Hapot g/l;Sokeri g/l;Kantavierrep-%;Väri EBC;Katkerot EBU;Energia kcal/100 ml;Valikoima;EAN
499467;Carrascal Syrah 2019;Bodega Y Cavas Weinert;0.75 l;10.98;14.51;;110;punaviinit;Mehevä & Hilloinen;Vegaaneille soveltuva tuote;;Argentiina;Mendoza;2019;Mendoza;Saattaa sisältää sakkaa. Vegaaneille soveltuva tuote;Syrah, ;Runsaanpunainen, täyteläinen, keskitanniininen, boysenmarjainen, luumuinen, kaakaoinen, kevyen neilikkainen, tamminen;pullo;luonnonkorkki;13.5;5.4;0;;;;80.0;vakiovalikoima;7790417902624
930018;Catena Alta Cabernet Sauvignon 2020;Catena Zapata;0.75 l;44.75;59.53;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2020;Mendoza;;Cabernet Sauvignon, ;Rubiininpunainen, täyteläinen, tanniininen, boysenmarjainen, eukalyptuksinen, mustaherukkainen;pullo;luonnonkorkki;13.5;4.9;4;;;;80.0;tilausvalikoima;7794450008220
906487;Catena Malbec 2022;Catena Zapata;0.75 l;19.99;26.52;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2022;Mendoza;;Malbec, ;Runsaanpunainen, täyteläinen, keskitanniininen, boysenmarjainen, luumuinen, mustaherukkainen, mausteinen, kevyen mokkainen;pullo;luonnonkorkki;13.5;4.6;2;;;;80.0;vakiovalikoima;7794450008053
901272;Catena Zapata Birth of Cabernet 2021;Catena Zapata;0.75 l;108.80;145.07;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2021;Valle de Uco;Saattaa sisältää sakkaa;Cabernet Sauvignon, Cabernet Franc, ;Tummanpunainen, täyteläinen, tanniininen, hedelmäinen, hennon sikarilaatikkoinen, aromikas;pullo;luonnonkorkki;13.5;5.6;4;;;;80.0;tilausvalikoima;7794450948465
901048;Catena Zapata Malbec Argentino 2022;Catena Zapata;0.75 l;94.73;126.31;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2022;Mendoza;Saattaa sisältää sakkaa;Malbec, ;Tummanpunainen, täyteläinen, tanniininen, mausteinen, aromikas, yrttinen;pullo;luonnonkorkki;14.0;5.3;5;;;;80.0;tilausvalikoima;7794450941145
901430;Catena Zapata Nicasia Vineyard Malbec 2015;Catena Zapata;0.75 l;83.98;111.97;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2015;Nicasia Vineyard Altamira (La Consulta);Saattaa sisältää sakkaa. Puinen kuljetuspakkaus;Malbec, ;Tummanpunainen, täyteläinen, tanniininen, hennon mustaherukkainen, hennon vaniljainen, hennon maustekakkuinen;pullo;luonnonkorkki;14.0;5.3;3;;;;80.0;tilausvalikoima;6430082880452
480037;Chakana Nuna Vineyard Cabernet Franc 2019;Proviva;0.75 l;17.50;23.2;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2019;Luján de Cuyo;Vegaaneille soveltuva tuote. Biodynaaminen;Cabernet Franc, ;Runsaanpunainen, täyteläinen, tanniininen, tumman kirsikkainen, kypsän karhunvatukkainen, herukkainen, mustapippurinen, kaakaoinen, kevyen tamminen;pullo;luonnonkorkki;13.5;5.1;3;;;;80.0;vakiovalikoima;7798108621151
410098;Chill Out Malbec Organic Argentina 2023 muovipullo;Altia;1 l;14.98;14.58;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2023;Mendoza;Vegaaneille soveltuva tuote;Malbec, ;Tummanpunainen, täyteläinen, keskitanniininen, tumman kirsikkainen, karhunvatukkainen, luumuinen, kevyen mausteinen;muovipullo;muovisuljin;13.0;5.6;4;;;;80.0;vakiovalikoima;6412703011599
487427;Domaine Bousquet Reserve Cabernet Sauvignon 2023;Domaine Bousquet;0.75 l;18.99;25.32;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2023;Uco Valley;Vegaaneille soveltuva tuote;Cabernet Sauvignon, Malbec, ;Tummanpunainen, täyteläinen, tanniininen, tumman kirsikkainen, mustaherukkainen, luumuinen, mausteinen;pullo;luonnonkorkki;14.5;5.3;0;;;;80.0;erikoiserä;7798101651001
450517;Domaine Bousquet Reserve Organic Malbec 2024;Domaine Bousquet;0.75 l;17.98;23.84;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2024;Tupungato;Vegaaneille soveltuva tuote;Malbec, ;Runsaanpunainen, täyteläinen, tanniininen, karhunvatukkainen, hapankirsikkainen, kuivatun karpaloinen, kevyen mustapippurinen, tamminen;pullo;luonnonkorkki;14.5;4.9;0;;;;80.0;vakiovalikoima;7798101650431
