Alkon hinnasto 13.11.2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huom.! Hinnastojärjestyskoodilla saat tuoteryhmät takaisin hinnaston järjestykseen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Numero;Nimi;Valmistaja;Pullokoko;Hinta;Litrahinta;Uutuus;Hinnastojärjestyskoodi;Tyyppi;Alatyyppi;Erityisryhmä;Oluttyyppi;Valmistusmaa;Alue;Vuosikerta;Etikettimerkintöjä;Huomautus;Rypäleet;Luonnehdinta;Pakkaustyyppi;Suljentatyyppi;Alkoholi-%;Hapot g/l;Sokeri g/l;Kantavierrep-%;Väri EBC;Katkerot EBU;Energia kcal/100 ml;Valikoima;EAN
955974;Moric Lutzmannsburg Alte Reben 2019;Moric;0.75 l;115.89;154.52;;110;punaviinit;Vivahteikas & Kehittynyt;;;Itävalta;Burgenland;2019;Burgenland;Saattaa sisältää sakkaa;Blaufränkisch, ;Runsaanpunainen, keskitäyteläinen, keskitanniininen, mausteinen, karhunvatukkainen, yrttinen;pullo;luonnonkorkki;13.5;6.6;1;;;;80.0;tilausvalikoima;6429810069405
921765;Moric Lutzmannsburg Alte Reben 2020;Moric;0.75 l;119.89;159.85;;110;punaviinit;Vivahteikas & Kehittynyt;;;Itävalta;Burgenland;2020;Burgenland;Saattaa sisältää sakkaa;Blaufränkisch, ;Punainen, keskitäyteläinen, keskitanniininen, karhunvatukkainen, yrttinen, mausteinen;pullo;luonnonkorkki;13.0;6.1;1;;;;70.0;tilausvalikoima;6429810069511
940124;Moric Maissner Lutzmannsburg 2020;Moric;0.75 l;95.95;127.93;;110;punaviinit;Vivahteikas & Kehittynyt;;;Itävalta;Burgenland;2020;Burgenland;Saattaa sisältää sakkaa;Blaufränkisch, ;Rubiininpunainen, keskitäyteläinen, keskitanniininen, tumman kirsikkainen, pippurinen, mustikkainen;pullo;luonnonkorkki;13.0;6.0;1;;;;70.0;tilausvalikoima;6429810069498
909318;Moric Neckenmarkt Alte Reben 2012;Moric;0.75 l;118.90;158.53;;110;punaviinit;Vivahteikas & Kehittynyt;;;Itävalta;Burgenland;2012;Burgenland;Sisältää sakkaa;Blaufränkisch, ;Rubiininpunainen, keskitäyteläinen, keskitanniininen, mausteinen, karhunvatukkainen, yrttinen;pullo;luonnonkorkki;13.5;5.5;1;;;;80.0;tilausvalikoima;6429810069399
936552;Moric Raga Raiding 2011;Moric;0.75 l;77.70;103.6;;110;punaviinit;Vivahteikas & Kehittynyt;;;Itävalta;Burgenland;2011;Burgenland;Saattaa sisältää sakkaa;Blaufränkisch, ;Rubiininpunainen, keskitäyteläinen, tanniininen, yrttinen, kirsikkainen, karpaloinen;pullo;luonnonkorkki;14.0;6.2;2;;;;80.0;tilausvalikoima;6429810069412
931814;Moric Schwemmer Lutzmannsburg 2020;Moric;0.75 l;79.90;106.53;;110;punaviinit;Vivahteikas & Kehittynyt;;;Itävalta;Burgenland;2020;Burgenland;Saattaa sisältää sakkaa;Blaufränkisch, ;Rubiininpunainen, keskitäyteläinen, keskitanniininen, tumman kirsikkainen, vadelmainen, mausteinen;pullo;luonnonkorkki;13.0;6.4;1;;;;70.0;tilausvalikoima;6429810069481
943723;Nehrer Burgenland Rot 2021;Nehrer;0.75 l;25.71;34.28;;110;punaviinit;Marjaisa & Raikas;;;Itävalta;Burgenland;2021;Burgenland;Saattaa sisältää sakkaa. Vegaaneille soveltuva tuote. Alkuviini;Blaufränkisch, Merlot, Syrah, Zweigelt, ;Punainen, keskitäyteläinen, keskitanniininen, karhunvatukkahilloinen, kirsikkainen, marjainen;pullo;metallinen kierrekapseli;13.0;7.1;1;;;;70.0;tilausvalikoima;9120013491082
915933;Nehrer Leithaberg Blaufränkisch 2021;Nehrer;0.75 l;31.78;42.37;;110;punaviinit;Marjaisa & Raikas;;;Itävalta;Burgenland;2021;DAC Leithaberg;Saattaa sisältää sakkaa. Vegaaneille soveltuva tuote. Alkuviini;Blaufränkisch, ;Punainen, keskitäyteläinen, keskitanniininen, kirsikkainen, mausteinen, herukkainen;pullo;metallinen kierrekapseli;13.0;6.7;1;;;;70.0;tilausvalikoima;9120013491389
479894;Nittnaus Zweigelt Heideboden 2022;Gebrüder Nittnaus Gols;0.375 l;10.26;27.09;;110;punaviinit;Mehevä & Hilloinen;;;Itävalta;Burgenland;2022;Neusiedlersee DAC;Saattaa sisältää sakkaa;Zweigelt, ;Sinipunainen, keskitäyteläinen, keskitanniininen, boysenmarjainen, karpalohilloinen, herukkainen, hennon timjaminen, mausteinen;pullo;metallinen kierrekapseli;13.0;4.9;0;;;;70.0;vakiovalikoima;9120007311075
926048;PMC Münzenrieder Neusiedlersee Zweigelt 2022;PMC Münzenrieder;0.75 l;19.90;26.53;;110;punaviinit;Marjaisa & Raikas;;;Itävalta;Burgenland;2022;DAC Neusiedlersee;;Zweigelt, ;Kirsikanpunainen, keskitäyteläinen, keskitanniininen, marjainen, kirsikkainen, luumuinen;pullo;metallinen kierrekapseli;13.5;5.1;2;;;;80.0;tilausvalikoima;9120039002033
909866;Rennersistas Waiting for Tom Rot 2017;Rennersistas;0.75 l;31.10;41.47;;110;punaviinit;Marjaisa & Raikas;Luomu;;Itävalta;Burgenland;2017;Burgenland;;Blaufränkisch, Sankt Laurent, Zweigelt, ;Rubiininpunainen, keskitäyteläinen, vähätanniininen, karhunvatukkainen, marjainen, vadelmainen;pullo;luonnonkorkki;12.0;5.4;1;;;;70.0;tilausvalikoima;9007395001996
400131;Tesch Blaufränkisch Ried Hochberg 2021;Tesch;0.75 l;16.99;22.52;;110;punaviinit;Mehevä & Hilloinen;Vegaaneille soveltuva tuote;;Itävalta;Burgenland;2021;Qualitätswein Burgenland;Vegaaneille soveltuva tuote;Blaufränkisch, ;Punainen, keskitäyteläinen, keskitanniininen, kirsikkainen, karhunvatukkainen, kevyen herukkainen, vadelmainen, yrttinen;pullo;metallinen kierrekapseli;13.5;5.2;0;;;;80.0;vakiovalikoima;9120025800025
900326;Petra Unger Pinot Noir Furth 2021;Petra Unger;0.75 l;26.78;35.71;;110;punaviinit;Marjaisa & Raikas;;;Itävalta;Muut;2021;Qualitätswein Niederösterreich;;Pinot Noir, ;Rubiininpunainen, keskitäyteläinen, keskitanniininen, kevyen kirsikkainen, vadelmainen, kypsän karhunvatukkainen;pullo;luonnonkorkki;13.0;6.3;1;;;;70.0;tilausvalikoima;9120043291690
900302;Petra Unger Zweigelt Furth  2022;Petra Unger;0.75 l;22.45;29.93;;110;punaviinit;Vivahteikas & Kehittynyt;;;Itävalta;Muut;2022;Qualitätswein Niederösterreich;;Zweigelt, ;Syvänpunainen, keskitäyteläinen, tanniininen, mustaherukkainen, vadelmainen, tumman marjainen;pullo;metallinen kierrekapseli;13.0;5.3;2;;;;70.0;tilausvalikoima;9120043290396
952076;Bründlmayer Zweigelt 2021;Bründlmayer;0.75 l;22.49;29.99;;110;punaviinit;Mehevä & Hilloinen;Luomu;;Itävalta;Niederösterreich;2021;Qualitätswein Niederösterreich;;Zweigelt, ;Punainen, täyteläinen, tanniininen, hapankirsikkainen, kypsän karpaloinen, punaherukkainen, pippurinen, hennon lakritsinen;pullo;metallinen kierrekapseli;12.5;5.8;0;;;;70.0;vakiovalikoima;9120132120535
445537;Familie Auer Pinot Noir 2023;Familie Auer;0.75 l;16.37;21.69;;110;punaviinit;Marjaisa & Raikas;;;Itävalta;Niederösterreich;2023;Qualitätswein Thermenregion;Vegaaneille soveltuva tuote;Pinot Noir, ;Punainen, keskitäyteläinen, keskitanniininen, kirsikkainen, herukkainen, vadelmainen, metsämansikkainen, orvokkinen, lakritsijuurinen;pullo;metallinen kierrekapseli;13.0;5.0;2;;;;70.0;vakiovalikoima;9120011080042
918362;Geyerhof Stockwerk Zweigelt 2022;Geyerhof;0.75 l;18.99;25.32;;110;punaviinit;Marjaisa & Raikas;;;Itävalta;Niederösterreich;2022;Niederösterreich;Vegaaneille soveltuva tuote. Biodynaaminen;Zweigelt, ;Ohuenpunainen, kevyt, vähätanniininen, kirsikkainen, marjainen, pippurinen;pullo;metallinen kierrekapseli;12.0;5.6;1;;;;70.0;tilausvalikoima;9120008902142
901854;Holzer Simply Red 2021;Eschenhof Holzer;0.75 l;22.90;30.53;uutuus;110;punaviinit;Marjaisa & Raikas;;;Itävalta;Niederösterreich;2021;;Alkuviini;Zweigelt, ;Heleänpunainen, keskitäyteläinen, vähätanniininen, punamarjainen, hennon kirsikkainen, hennon mausteinen;pullo;luonnonkorkki;12.5;5.8;0;;;;70.0;tilausvalikoima;9120038120219
900740;Leth Pinot Noir Reserve  2022;Weingut Leth;0.75 l;24.98;33.31;;110;punaviinit;Vivahteikas & Kehittynyt;Luomu;;Itävalta;Niederösterreich;2022;Qualitätswein Niederösterreich;;Pinot Noir, ;Helakanpunainen, keskitäyteläinen, tanniininen, kypsän hapankirsikkainen, kevyen vadelmainen, hennon mausteinen;pullo;luonnonkorkki;13.5;4.9;1;;;;80.0;tilausvalikoima;9120008948324
405167;Leth St. Laurent Reserve 2021;Weingut Leth;0.75 l;14.98;19.84;;110;punaviinit;Mehevä & Hilloinen;Luomu;;Itävalta;Niederösterreich;2021;Niederösterreich;;Sankt Laurent, ;Sinipunainen, keskitäyteläinen, tanniininen, vadelmainen, tumman kirsikkainen, mustikkainen, kevyen mesimarjainen, hennon vaniljainen;pullo;luonnonkorkki;13.5;4.9;0;;;;80.0;vakiovalikoima;9120008947297
942953;Pfaffl Zweigelt vom HAUS 2023;R&A Pfaffl;0.75 l;16.98;22.64;;110;punaviinit;Vivahteikas & Kehittynyt;;;Itävalta;Niederösterreich;2023;Niederösterreich;;Zweigelt, ;Rubiininpunainen, keskitäyteläinen, tanniininen, mausteinen, tumman kirsikkainen;pullo;metallinen kierrekapseli;13.5;5.1;3;;;;80.0;tilausvalikoima;9006332215557
901040;Steininger Pinot Noir 2022;Steininger;0.75 l;24.90;33.07;;110;punaviinit;Vivahteikas & Kehittynyt;;;Itävalta;Niederösterreich;2022;Niederösterreich;;Pinot Noir, ;Rubiininpunainen, keskitäyteläinen, keskitanniininen, hennon kirsikkainen, yrttinen, vadelmainen;pullo;metallinen kierrekapseli;13.5;4.8;1;;;;80.0;tilausvalikoima;9120110355935
922171;Koppitsch Perspektive Rot 2020;Koppitsch;0.75 l;33.18;44.24;;110;punaviinit;Mehevä & Hilloinen;;;Itävalta;;2020;;Saattaa sisältää sakkaa;Blaufränkisch, Sankt Laurent, Syrah, ;Punainen, keskitäyteläinen, tanniininen, kirsikkainen, mausteinen, mustikkainen;pullo;luonnonkorkki;11.0;5.4;1;;;;60.0;tilausvalikoima;9120069511178
957861;Moric Jagini Zagersdorf 2012;Moric;0.75 l;55.12;73.49;;110;punaviinit;Vivahteikas & Kehittynyt;;;Itävalta;;2012;Qualitätswein Österreich;Saattaa sisältää sakkaa;Blaufränkisch, ;Punavioletti, keskitäyteläinen, keskitanniininen, pippurinen, hapankirsikkainen, karhunvatukkainen;pullo;luonnonkorkki;13.5;5.4;1;;;;80.0;tilausvalikoima;6429810069153
915272;Moric Lutzmannsburg Alte Reben 2012;Moric;0.75 l;104.81;139.75;;110;punaviinit;Vivahteikas & Kehittynyt;;;Itävalta;;2012;Qualitätswein Österreich;Saattaa sisältää sakkaa;Blaufränkisch, ;Punavioletti, keskitäyteläinen, keskitanniininen, karhunvatukkainen, herukkainen, tumman kirsikkainen;pullo;luonnonkorkki;14.0;5.9;1;;;;80.0;tilausvalikoima;6429810069207
945344;Moric Lutzmannsburg Alte Reben 2013;Moric;0.75 l;104.81;139.75;;110;punaviinit;Vivahteikas & Kehittynyt;;;Itävalta;;2013;Qualitätswein Österreich;Saattaa sisältää sakkaa;Blaufränkisch, ;Punavioletti, keskitäyteläinen, keskitanniininen, karhunvatukkainen, herukkainen, tumman kirsikkainen;pullo;luonnonkorkki;13.5;5.6;1;;;;80.0;tilausvalikoima;6429810069214
933164;Moric Lutzmannsburg Alte Reben 2016;Moric, Roland Velich;0.75 l;94.59;126.12;;110;punaviinit;Vivahteikas & Kehittynyt;;;Itävalta;;2016;;;Blaufränkisch, ;Punavioletti, keskitäyteläinen, keskitanniininen, herukkainen, tumman kirsikkainen, karhunvatukkainen;pullo;luonnonkorkki;14.0;5.7;1;;;;80.0;tilausvalikoima;6429810069054
931253;Moric Lutzmannsburg Alte Reben 2017;Moric;0.75 l;94.81;126.41;;110;punaviinit;Vivahteikas & Kehittynyt;;;Itävalta;;2017;Qualitätswein Österreich;Saattaa sisältää sakkaa;Blaufränkisch, ;Punavioletti, keskitäyteläinen, keskitanniininen, karhunvatukkainen, herukkainen, tumman kirsikkainen;pullo;luonnonkorkki;13.5;5.9;1;;;;80.0;tilausvalikoima;6429810069221
916086;Moric Reserve 2012;Moric;0.75 l;48.90;65.2;;110;punaviinit;Vivahteikas & Kehittynyt;;;Itävalta;;2012;Quolitätswein Österreich;Saattaa sisältää sakkaa;Blaufränkisch, ;Punavioletti, keskitäyteläinen, keskitanniininen, hapankirsikkainen, karhunvatukkainen, vadelmainen;pullo;luonnonkorkki;13.5;5.5;1;;;;80.0;tilausvalikoima;6429810069177
958198;Moric Reserve 2014;Moric;0.75 l;48.62;64.83;;110;punaviinit;Vivahteikas & Kehittynyt;;;Itävalta;;2014;Qualitätswein Österreich;Saattaa sisältää sakkaa;Blaufränkisch, ;Punavioletti, keskitäyteläinen, keskitanniininen, hapankirsikkainen, herukkainen;pullo;luonnonkorkki;13.0;6.1;1;;;;70.0;tilausvalikoima;6429810069184
948576;Moric Reserve 2016;Moric, Roland Velich;0.75 l;45.21;60.28;;110;punaviinit;Marjaisa & Raikas;;;Itävalta;;2016;;;Blaufränkisch, ;Punavioletti, keskitäyteläinen, keskitanniininen, hapankirsikkainen, herukkainen, marjainen;pullo;luonnonkorkki;13.0;6.1;1;;;;70.0;tilausvalikoima;6429810069061
956498;Moric Reserve 2017;Moric;0.75 l;45.12;60.16;;110;punaviinit;Marjaisa & Raikas;;;Itävalta;;2017;Qualitätswein Österreich;Saattaa sisältää sakkaa;Blaufränkisch, ;Punavioletti, keskitäyteläinen, keskitanniininen, hapankirsikkainen, herukkainen;pullo;luonnonkorkki;13.0;5.9;1;;;;70.0;tilausvalikoima;6429810069191
912827;Sighardt Donabaum Blauer Portugieser 2021;Weingut Sighardt Donabaum;0.75 l;21.47;28.63;;110;punaviinit;Pehmeä & Hedelmäinen;;;Itävalta;;2021;;Saattaa sisältää sakkaa;Portugieser, ;Rubiininpunainen, keskitäyteläinen, keskitanniininen, kirsikkainen, mausteinen, marjainen;pullo;metallinen kierrekapseli;12.0;5.7;7;;;;70.0;tilausvalikoima;9120089880162
937167;Steininger Zweigelt 2022;Steininger;0.75 l;18.89;25.05;;110;punaviinit;Marjaisa & Raikas;;;Itävalta;;2022;Qualitätswein Österreich;Saattaa sisältää sakkaa;Zweigelt, ;Tummanpunainen, keskitäyteläinen, keskitanniininen, kirsikkainen, marjainen, mausteinen;pullo;metallinen kierrekapseli;13.5;4.4;1;;;;80.0;tilausvalikoima;9120015364070
401097;Lakeview Baco Noir 2019;Lakeview;0.75 l;23.52;31.23;;110;punaviinit;Mehevä & Hilloinen;;;Kanada;Ontario;2019;VQA Ontario;;Baco Noir, ;Tummanpunainen, keskitäyteläinen, keskitanniininen, metsämarjainen, kirsikkainen, luumuinen, herukkainen, karhunvatukkainen, mausteinen;pullo;metallinen kierrekapseli;12.5;6.5;11;;;;80.0;erikoiserä;0874537000136
402597;Alpha Estate Axia Syrah Xinomavro 2019;Alpha Estate;0.75 l;17.83;23.64;;110;punaviinit;Mehevä & Hilloinen;Vegaaneille soveltuva tuote;;Kreikka;;2019;PGI Florina;Sisältää sakkaa. Vegaaneille soveltuva tuote;Xynomavro, Syrah, ;Tummanpunainen, täyteläinen, tanniininen, hapankirsikkainen, mustaherukkainen, kypsän vadelmainen, mausteinen, kevyen tummasuklainen;pullo;luonnonkorkki;14.0;6.1;2;;;;80.0;vakiovalikoima;5205243315354
458277;Alpha Estate Axia Syrah Xinomavro 2022;Alpha Estate;0.75 l;19.48;25.97;;110;punaviinit;Mehevä & Hilloinen;Vegaaneille soveltuva tuote;;Kreikka;;2022;PGI Florina;Saattaa sisältää sakkaa. Vegaaneille soveltuva tuote;Shiraz, Xynomavro, ;Tummanpunainen, keskitäyteläinen, tanniininen, hapankirsikkainen, mustaherukkainen, luumuinen, metsämarjainen, mausteinen, kevyen oliivinen;lasipullo;luonnonkorkki;14.5;5.6;0;;;;80.0;vakiovalikoima;5205243319352
938338;Amyntas 1959 Syrah Merlot 2022;Amyntas;0.75 l;13.48;17.97;;110;punaviinit;Marjaisa & Raikas;;;Kreikka;;2022;PGI Florina;;Syrah, Merlot, ;Punainen, keskitäyteläinen, keskitanniininen, kirsikkainen, karpaloinen, marjainen;pullo;metallinen kierrekapseli;12.0;6.2;2;;;;70.0;tilausvalikoima;5203350004062
934177;Boutari Naoussa 2020;J. Boutari & Son;0.75 l;20.49;27.19;;110;punaviinit;Vivahteikas & Kehittynyt;;;Kreikka;;2020;;Sisältää sakkaa;Xynomavro, ;Tiilenpunainen, keskitäyteläinen, keskitanniininen, marjainen, mausteinen, aromikas;pullo;luonnonkorkki;13.0;5.7;3;;;;70.0;tilausvalikoima;5201022540504
908948;Dourakis Impromptu Mandilari 2019;Dourakis Andreas Winery;0.75 l;43.48;57.97;;110;punaviinit;Vivahteikas & Kehittynyt;;;Kreikka;;2019;Kreeta;Saattaa sisältää sakkaa;Mandilaria, ;Oranssinpunainen, keskitäyteläinen, tanniininen, karhunvatukkainen, kirsikkainen, tamminen;pullo;luonnonkorkki;12.5;6.6;1;;;;70.0;tilausvalikoima;5200100350752
919188;Dourakis Kudos Kotsifali Syrah 2022;Dourakis Andreas Winery;0.75 l;38.11;50.81;;110;punaviinit;Mehevä & Hilloinen;;;Kreikka;;2022;;;Kotsifali, Syrah, ;Tummanpunainen, keskitäyteläinen, vähätanniininen, karpaloinen, karhunvatukkainen, marjainen;pullo;luonnonkorkki;13.0;5.4;3;;;;70.0;tilausvalikoima;5200100350677
950035;Dourakis Monoceros Grenache Rouge Merlot 2022;Dourakis Andreas Winery;0.75 l;25.62;34.16;;110;punaviinit;Marjaisa & Raikas;;;Kreikka;;2022;Kreeta;;Grenache Rouge, Merlot, ;Tummanpunainen, keskitäyteläinen, keskitanniininen, karhunvatukkainen, kirsikkainen, aromikas;pullo;metallinen kierrekapseli;14.0;6.5;1;;;;80.0;tilausvalikoima;5200100350998
923041;Kir-Yianni Kali Riza 2022;Kir-Yianni;0.75 l;27.99;37.19;;110;punaviinit;Vivahteikas & Kehittynyt;Vegaaneille soveltuva tuote;;Kreikka;;2022;PDO Amyndeon;Saattaa sisältää sakkaa. Vegaaneille soveltuva tuote;Xynomavro, ;Helakanpunainen, täyteläinen, tanniininen, vadelmainen, kirsikkainen, aromikas;pullo;luonnonkorkki;14.0;6.2;3;;;;80.0;tilausvalikoima;5203888190121
959921;Kir-Yianni Ramnista 2020;Kir-Yianni;0.75 l;29.99;39.99;;110;punaviinit;Vivahteikas & Kehittynyt;;;Kreikka;;2020;PDO Naussa;Saattaa sisältää sakkaa;Xynomavro, ;Tummanpunainen, täyteläinen, tanniininen, nahkainen, tumman kirsikkainen, aromikas;pullo;luonnonkorkki;14.5;5.5;3;;;;80.0;tilausvalikoima;5203888184021
957404;Klados Her King 2021;Klados Winery;0.75 l;26.65;35.53;;110;punaviinit;Mehevä & Hilloinen;;;Kreikka;;2021;Kreeta;;Cabernet Sauvignon, Liatiko, ;Tummanpunainen, täyteläinen, tanniininen, karhunvatukkainen, kirsikkainen, luumuinen;pullo;luonnonkorkki;13.5;5.7;0;;;;80.0;tilausvalikoima;5200100350462
925727;Mandilari Plakoura 2020;Lyrarakis;0.75 l;24.98;33.31;;110;punaviinit;Vivahteikas & Kehittynyt;Vegaaneille soveltuva tuote;;Kreikka;;2020;;Saattaa sisältää sakkaa. Vegaaneille soveltuva tuote;Mandelari, ;Runsaanpunainen, keskitäyteläinen, tanniininen, luumuinen, suklainen, vaniljainen;pullo;luonnonkorkki;14.0;5.6;2;;;;80.0;tilausvalikoima;5203995300352
912603;Manousakis Mrs. 2022;Manousakis Winery;0.75 l;27.07;36.09;;110;punaviinit;Marjaisa & Raikas;;;Kreikka;;2022;Kreeta;;Syrah, ;Rubiininpunainen, keskitäyteläinen, vähätanniininen, karhunvatukkainen, karpaloinen, kirsikkainen;pullo;luonnonkorkki;14.0;4.4;0;;;;80.0;tilausvalikoima;5200327500145
499137;Mavro Xinomavro 2020;Elinos Winery;0.75 l;17.70;23.47;;110;punaviinit;Vivahteikas & Kehittynyt;;;Kreikka;;2020;Naoussa;Saattaa sisältää sakkaa. Vegaaneille soveltuva tuote;Xynomavro, ;Punainen, keskitäyteläinen, tanniininen, punaherukkainen, karpaloinen, hapankirsikkainen, hennon nahkainen, kevyen paahteinen;pullo;luonnonkorkki;14.5;6.0;0;;;;80.0;vakiovalikoima;5200114980686
942587;Naoussa Boutari Grande Reserve 2013;Boutari;0.75 l;29.48;39.17;;110;punaviinit;Vivahteikas & Kehittynyt;;;Kreikka;;2013;;Sisältää sakkaa;Xynomavro, ;Punaruskea, keskitäyteläinen, tanniininen, marjainen, nahkainen, mausteinen;pullo;luonnonkorkki;12.5;5.4;2;;;;70.0;tilausvalikoima;5201022550503
900433;Nostos Alexandra´s 2019;Manousakis Winery;0.75 l;39.55;52.73;;110;punaviinit;Vivahteikas & Kehittynyt;Luomu;;Kreikka;;2019;Kreeta;Saattaa sisältää sakkaa;Grenache, Syrah, Mourvèdre, ;Tummanpunainen, täyteläinen, tanniininen, tumman kirsikkainen, mustikkasuklainen, mansikkainen;pullo;luonnonkorkki;14.5;5.6;1;;;;80.0;tilausvalikoima;5200327503306
401617;Nostos Organic Blend 2018;Manousakis Winery;0.75 l;41.97;55.96;;110;punaviinit;Vivahteikas & Kehittynyt;Luomu;;Kreikka;;2018;Crete;Saattaa sisältää sakkaa;Grenache Noir, Mourvèdre, Roussanne, Syrah, ;Runsaanpunainen, täyteläinen, tanniininen, kypsän kirsikkainen, karpaloinen, kevyen metsänpohjainen, hennon nahkainen, tamminen;pullo;luonnonkorkki;14.5;5.7;1;;;;80.0;erikoiserä;5200327500008
417897;Skyphos Xinomavro 2022;Artisans Vignerons de Naoussa;0.75 l;19.47;25.83;;110;punaviinit;Mehevä & Hilloinen;;;Kreikka;;2022;IGP Macedonia;Vegaaneille soveltuva tuote;Xynomavro, ;Punainen, keskitäyteläinen, tanniininen, viikunainen, vadelmainen, hapankirsikkainen, metsämansikkainen, yrttinen;pullo;metallinen kierrekapseli;13.0;5.9;2;;;;70.0;erikoiserä;5214001934058
406377;Zelos Kotsifali 2022;Dourakis Andreas Winery;0.75 l;34.89;46.52;;110;punaviinit;Mehevä & Hilloinen;;;Kreikka;;2022;;;Kotsifali, ;Punainen, keskitäyteläinen, tanniininen, boysenmarjainen, kirsikkainen, kypsän karpaloinen, hennon vaniljainen;pullo;luonnonkorkki;13.0;7.8;0;;;;70.0;erikoiserä;5200100351056
470397;Krolo Kaštelanski Crljenak 2019;Krolo-dom;0.75 l;38.31;50.95;;110;punaviinit;Vivahteikas & Kehittynyt;;;Kroatia;;2019;;;Zinfandel, ;Punainen, keskitäyteläinen, tanniininen, mustaherukkainen, kypsän karpaloinen, kirsikkainen, viikunainen, kevyen nahkainen, hennon vaniljainen;pullo;luonnonkorkki;15.0;6.6;3;;;;80.0;erikoiserä;3859890486190
900620;The Dalmatian Dog 2022;Testament Winery;0.75 l;17.99;23.99;;110;punaviinit;Marjaisa & Raikas;Luomu;;Kroatia;;2022;PDO North Dalmatia;;Babic, ;Karmiininpunainen, keskitäyteläinen, keskitanniininen, kirsikka-arominen, hennon mansikkainen, kaakaoinen;pullo;luonnonkorkki;13.5;6.8;5;;;;80.0;tilausvalikoima;
955698;Chateau Marsyas B-Qa Rouge 2018;Chateau Marsyas;0.75 l;39.10;52.13;;110;punaviinit;Vivahteikas & Kehittynyt;;;Libanon;;2018;Bekaa Valley;Saattaa sisältää sakkaa;Mourvèdre, Petit Verdot, Shiraz, Syrah, ;Tummanpunainen, täyteläinen, tanniininen, boysenmarjainen, hapankirsikkainen, mausteinen;pullo;luonnonkorkki;15.5;5.4;2;;;;90.0;tilausvalikoima;5285002501365
945378;Chateau Marsyas BQ-A de Marsyas Rouge 2016;Chateau Marsyas;0.75 l;34.92;46.56;;110;punaviinit;Vivahteikas & Kehittynyt;;;Libanon;;2016;Bekaa Valley;;Cabernet Sauvignon, Merlot, Shiraz, ;Tummanpunainen, täyteläinen, tanniininen, boysenmarjainen, hapankirsikkainen, mausteinen;pullo;luonnonkorkki;15.0;5.4;1;;;;80.0;tilausvalikoima;5285002500986
927238;Chateau Musar 2017;Chateau Musar;0.375 l;32.19;85.84;;110;punaviinit;Vivahteikas & Kehittynyt;;;Libanon;;2017;Bekaa Valley;Sisältää sakkaa;Cabernet Sauvignon, Carignan, Cinsault, ;Tiilenpunainen, täyteläinen, tanniininen, hapankirsikkainen, taatelinen, kypsän karpaloinen, nahkainen, hennon neilikkainen, tamminen;lasipullo;luonnonkorkki;14.0;6.9;1;;;;80.0;vakiovalikoima;5017469131706
954277;Chateau Musar 2018;Gaston Hochar;0.75 l;54.78;73.04;;110;punaviinit;Vivahteikas & Kehittynyt;;;Libanon;;2018;Bekaa Valley;Sisältää sakkaa;Cabernet Sauvignon, Carignan, Cinsault, ;Tiilenpunainen, täyteläinen, tanniininen, hapankirsikkainen, viikunainen, tumman luumuinen, lakritsijuurinen, lyijykynäinen, kevyen setrinen, vivahteikas;pullo;luonnonkorkki;14.0;6.7;4;;;;80.0;vakiovalikoima;5017469111807
949267;Chateau Musar Hochar 2020;Chateau Musar;0.75 l;31.98;42.64;;110;punaviinit;Vivahteikas & Kehittynyt;;;Libanon;;2020;Bekaa Valley;Sisältää sakkaa;Cinsault, Grenache, Cabernet Sauvignon, ;Punainen, keskitäyteläinen, keskitanniininen, marjainen, mausteinen, aromikas;pullo;luonnonkorkki;14.0;5.7;2;;;;80.0;tilausvalikoima;5017469410009
433897;Chateau Musar Jeune 2020;Chateau Musar;0.75 l;22.48;29.84;;110;punaviinit;Mehevä & Hilloinen;Vegaaneille soveltuva tuote;;Libanon;;2020;Bekaa Valley;Saattaa sisältää sakkaa. Vegaaneille soveltuva tuote;Cabernet Sauvignon, Cinsault, Syrah, ;Tummanpunainen, keskitäyteläinen, tanniininen, hapankirsikkainen, karhunvatukkainen, karpaloinen, hennon setrinen, yrttinen;pullo;luonnonkorkki;14.5;6.5;0;;;;80.0;vakiovalikoima;5017469310002
906157;Château Ksara 2018;Château Ksara;0.75 l;29.98;39.84;;110;punaviinit;Vivahteikas & Kehittynyt;;;Libanon;;2018;Bekaa Valley;Saattaa sisältää sakkaa;Cabernet Sauvignon, Merlot, Petit Verdot, ;Tummanpunainen, täyteläinen, tanniininen, marjainen, mausteinen, nahkainen;pullo;luonnonkorkki;13.5;3.7;2;;;;80.0;tilausvalikoima;5281022702041
490447;Château Ksara Reserve du Couvent 2022;Chateau Ksara;0.75 l;17.98;23.84;;110;punaviinit;Mehevä & Hilloinen;;;Libanon;;2022;Bekaa Valley;;Cabernet Franc, Cabernet Sauvignon, Syrah, ;Runsaanpunainen, täyteläinen, tanniininen, karhunvatukkainen, mustaherukkainen, kevyen kirsikkainen, mustapippurinen, paahteinen, hennon oliivinen;pullo;luonnonkorkki;13.5;5.1;0;;;;80.0;vakiovalikoima;5281022542944
